category,name,price,currency,description,house_favorite
Hot Drinks,Espresso,3.50,EUR,Double shot of our seasonal espresso blend — rich and syrupy with a hazelnut finish,false
Hot Drinks,Americano,4.00,EUR,Two shots pulled long over hot water. Clean and direct — lets the bean speak,false
Hot Drinks,Flat White,4.80,EUR,Double ristretto with a thin layer of velvety microfoam. Less milk more coffee,true
Hot Drinks,Cortado,4.50,EUR,Equal parts espresso and warm milk. Sharp and balanced — nothing hidden,false
Hot Drinks,Cappuccino,4.80,EUR,Classic thirds: espresso, steamed milk, thick foam. Dry on request,false
Hot Drinks,Latte,5.20,EUR,Double shot with steamed whole milk and a whisper of foam. Oat milk available,false
Hot Drinks,Single Origin Pour Over,6.00,EUR,One farm one cup. Ask the bar what's on today — it changes with the harvest,true
Hot Drinks,Filter Coffee,3.50,EUR,Batch brew changed every two hours. A reliable cup from a rotating single origin,false
Hot Drinks,Matcha Latte,5.50,EUR,Ceremonial grade matcha whisked smooth with steamed oat milk. Earthy and slightly sweet,false
Hot Drinks,Hot Chocolate,5.00,EUR,70% dark couverture melted into steamed milk. Not too sweet — grown-up chocolate,false
Cold Drinks,Cold Brew,5.00,EUR,Steeped for 18 hours in cold water. Low acidity high sweetness served over ice,false
Cold Drinks,Nitro Cold Brew,5.80,EUR,Cold brew on tap with a nitrogen charge. Creamy cascade no ice needed,true
Cold Drinks,Iced Latte,5.50,EUR,Double shot over ice topped with cold whole milk. Simple and clean,false
Cold Drinks,Iced Americano,4.50,EUR,Two shots over ice with cold water. Crisp and bright — a summer staple,false
Cold Drinks,Iced Flat White,5.50,EUR,Ristretto over ice with a small pour of cold oat milk. Punchy but smooth,false
Cold Drinks,Cold Brew Tonic,6.00,EUR,Cold brew poured over ice and Fever-Tree tonic. Unexpected and addictive,true
Cold Drinks,Iced Matcha Latte,5.80,EUR,Matcha shaken with oat milk and a touch of honey over ice,false
Cold Drinks,Still Water,1.50,EUR,Filtered in-house — served chilled,false
Cold Drinks,Sparkling Water,2.00,EUR,San Pellegrino 250ml,false
Food,Butter Croissant,4.00,EUR,Laminated in-house and baked fresh each morning. Best before 11am,false
Food,Almond Croissant,4.80,EUR,Day-old croissant re-baked with frangipane and flaked almonds. Crisp outside soft inside,true
Food,Banana Bread,4.50,EUR,Dark roast coffee baked into the batter. Dense moist and not overly sweet,true
Food,Avocado Toast,9.50,EUR,Sourdough from Tartine Bakery topped with smashed avocado chilli flakes and a soft-poached egg,false
Food,Granola Bowl,8.00,EUR,House granola with toasted oats coconut and pecans served with Greek yoghurt and seasonal fruit,false
Food,Almond & Cardamom Tart,5.50,EUR,Frangipane tart scented with cardamom and topped with toasted almonds. Pairs well with the pour over,true
Food,Seasonal Fruit Scone,4.50,EUR,Buttermilk scone with whatever fruit is good this week. Served with clotted cream and jam,false
Food,Dark Chocolate Cookie,3.50,EUR,Thick chewy centre crispy edge 70% chocolate from Valrhona. Made daily,false
